Date,Open,High,Low,Close,Volume_BTC,Volume_Currency,Weighted_Price
13-09-2011,5.8,6,5.65,5.97,58.37138238,346.0973894,5.929230648
14-09-2011,5.58,5.72,5.52,5.53,61.14598362,341.8548132,5.590797514
15-09-2011,5.12,5.24,5,5.13,80.1407952,408.2590022,5.094271914
16-09-2011,4.82,4.87,4.8,4.85,39.9140068,193.7631466,4.854515047
17-09-2011,4.87,4.87,4.87,4.87,0.3,1.461,4.87
18-09-2011,4.87,4.92,4.81,4.92,119.8128,579.8431027,4.839575594
19-09-2011,4.9,4.9,4.9,4.9,20,98,4.9
20-09-2011,4.92,5.66,4.92,5.66,89.28071068,481.0492629,5.388053693
21-09-2011,5.7,5.79,5.66,5.66,17.62932238,100.5942336,5.706074879
22-09-2011,5.68,5.72,5.68,5.72,43.77842238,249.4039411,5.696960456
23-09-2011,5.7,5.72,5.7,5.72,20.68003681,118.0230148,5.707098875
24-09-2011,5.7,5.76,5.68,5.68,90.58706633,518.3839453,5.722494019
25-09-2011,6.05,6.05,6.05,6.05,12.22,73.931,6.05
26-09-2011,6.06,6.06,4.8,4.8,39.57846334,236.8008544,5.983073481
27-09-2011,4.85,4.92,4.85,4.92,24.3545,119.22506,4.895401671
28-09-2011,4.9,4.91,4.82,4.82,83.0533258,403.8466059,4.862497703
29-09-2011,4.81,4.82,4.81,4.82,46.9645,226.197226,4.816344814
30-09-2011,0,0,0,0,0,0,0
01-10-2011,0,0,0,0,0,0,0
02-10-2011,0,0,0,0,0,0,0
03-10-2011,4.85,4.87,4.83,4.87,30.57595,148.2252315,4.847771909
04-10-2011,4.86,5.3,4.8,4.98,142.5216224,701.8814805,4.924736813
05-10-2011,4.92,6.25,4.8,4.92,113.72,571.9455,5.029418748
06-10-2011,4.88,4.99,4.8,4.8,170.8435494,838.6446922,4.908846107
07-10-2011,4.8,4.81,4.59,4.61,94.64,443.6372,4.68762891
08-10-2011,4.57,4.57,3.99,3.99,56,249.51,4.455535714
09-10-2011,3.89,3.89,3.89,3.89,11,42.79,3.89
10-10-2011,3.99,4.51,3.99,4.51,132.5,596.0250015,4.498301898
11-10-2011,3.98,4.1,3.98,4.1,78.08,312.23915,3.998964524
12-10-2011,3.95,3.99,3.93,3.93,79.523525,313.6379286,3.943964112
13-10-2011,3.93,3.97,3.93,3.97,109.621766,433.3263775,3.952922793
14-10-2011,4.05,4.05,4.05,4.05,96.97751266,392.7589263,4.05
15-10-2011,0,0,0,0,0,0,0
16-10-2011,0,0,0,0,0,0,0
17-10-2011,3.92,3.92,3.92,3.92,10.24,40.1408,3.92
18-10-2011,0,0,0,0,0,0,0
19-10-2011,0,0,0,0,0,0,0
20-10-2011,2.22,2.29,2.22,2.24,61.972332,139.2859281,2.247550215
21-10-2011,2.22,2.27,2.22,2.27,41.46334066,92.89280599,2.240359906
